barcode,title,author,category,callNumber
BHI00214,버리고 갈 것만 남아서 참 홀가분하다  : 박경리 시집,박경리,일 반,811.62
BHI00215,(초판본) 자기만의 방 (미니북),"버지니아 울프 지음,박혜원 옮김",일 반,808.3
BHI00216,학교를 그만두고 유머를 연마했다,최민우,일 반,811.7
BHI00217,"아무튼,  비건",김한민 지음,일 반,818
BHI00218,"아무튼,  식물",임이랑 지음,일 반,818
BHI00219,"아무튼,  요가",박상아 지음,일 반,818
BHI00220,"아무튼,  문구 : 나는 작은 문구들의 힘을 믿는다",김규림 지음,일 반,818
BHI00221,"아무튼,  여름",김신회 지음,일 반,818
BHI00222,"아무튼,  클래식",김호경,일 반,818
BHI00223,"아무튼,  보드게임",심완선,일 반,818
BHI00224,축복 : 장영희의 영미시산책,"장영희 씀,김점선 그림",일 반,841
BHI00225,"흰 - 2024 노벨문학상 수상작가,  한강 소설",한강 (지은이),일 반,813.7
BHI00226,희랍어 시간 : 한강 장편소설,한강 지음,일 반,813.7
BHI00227,인간 실격 : 오리지널 초판본 표지 디자인,"다자이 오사무 지음,장하나 역",일 반,833
BHI00228,살인자 외,"어니스트 헤밍웨이,L. T. 미드,클리퍼드 핼리팩스,로버트 유스터스,대실 해밋,A. K. 그린,F. W. 크로프츠,G. K. 체스터턴,R. A. 프리먼 지음,신예용 옮김",일 반,808.3
BHI00229,"싱커  = ,Syncher  : 배미주 장편소설",배미주,일 반,813.7
BHI00230,초록은 어디에나  : 임선우 소설,임선우,일 반,813.7
BHI00231,안과 겉,"알베르 카뮈,옮긴이: 김화영",일 반,864
BHI00232,한 사람의 노래가 온 거리에 노래를  : 창비시선 500 특별시선집,"신경림,강성은,고형렬,곽재구,김경미, 김경후,김기택,김남주,김명수,김사인,김선우,김수영,김승희,김언희,김용택,김정환,김중일,김태정,김해자,김현,나희덕,도종환,문태준,민영,박성우,박소란,박철,박형준,박흥식,백무산,손택수,송경동,신동엽,신미나,신용목,심재휘,안도현,안미옥,안현미,안희연,양애경,엄원태,유병록,유이우,이근화,이동순,이병률,이상국,이성부,이시영,이영광,이장욱,이정록,이정훈,이제니,장석남,전동균,전욱진,정호승,정희성,조말선,조연호,조온윤,조태일,주하림,진은영,천양희,최영숙,최정례,최지인,허수경,황유원,황인찬 지음",일 반,811.7
BHI00233,이건 다만 사랑의 습관  : 창비시선 500 기념시선집,"안희연,황인찬 엮음",일 반,811.7
BHI00234,여름 언덕에서 배운 것  : 안희연 시집,안희연 지음,일 반,811.7
BHI00235,오늘 밤은 굶고 자야지  : 박상영 에세이,"박상영,그린이: 윤수훈",일 반,814.7
BHI00236,서랍에 저녁을 넣어 두었다,한강 지음,일 반,811.7
